Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2015,Afghanistan,Afghanistan,AFG,AFG,0,0,1174306,0,0,0,150317
2015,Egypt,Afghanistan,EGY,AFG,0,33,0,0,0,0,0
2015,Argentina,Afghanistan,ARG,AFG,5,0,0,0,0,0,0
2015,Australia,Afghanistan,AUS,AFG,7785,1422,0,0,0,0,0
2015,Austria,Afghanistan,AUT,AFG,17458,24267,0,0,0,0,0
2015,Azerbaijan,Afghanistan,AZE,AFG,602,134,0,0,0,0,0
2015,Belgium,Afghanistan,BEL,AFG,2934,1643,0,0,0,0,0
2015,Belarus,Afghanistan,BLR,AFG,403,5,0,0,0,0,0
2015,Brazil,Afghanistan,BRA,AFG,76,43,0,0,0,0,0
2015,Bulgaria,Afghanistan,BGR,AFG,197,3241,0,0,0,0,0
2015,Canada,Afghanistan,CAN,AFG,2890,368,0,0,0,0,0
2015,China,Afghanistan,CHN,AFG,7,0,0,0,0,0,0
2015,Chile,Afghanistan,CHL,AFG,14,0,0,0,0,0,0
2015,Colombia,Afghanistan,COL,AFG,5,5,0,0,0,0,0
2015,Cuba,Afghanistan,CUB,AFG,14,23,0,0,0,0,0
2015,Cyprus,Afghanistan,CYP,AFG,7,14,0,0,0,0,0
2015,Czechia,Afghanistan,CZE,AFG,234,6,0,0,0,0,0
2015,Denmark,Afghanistan,DNK,AFG,2166,217,0,0,0,0,0
2015,"Dominican Rep.",Afghanistan,DOM,AFG,5,0,0,0,0,0,0
2015,Ecuador,Afghanistan,ECU,AFG,112,0,0,0,0,0,0
2015,Estonia,Afghanistan,EST,AFG,16,5,0,0,0,0,0
2015,Fiji,Afghanistan,FJI,AFG,7,0,0,0,0,0,0
2015,Finland,Afghanistan,FIN,AFG,1406,3217,0,0,0,0,0
2015,France,Afghanistan,FRA,AFG,4397,2110,0,0,0,0,0
2015,"United Kingdom of Great Britain and Northern Ireland",Afghanistan,GBR,AFG,9354,2536,0,0,0,0,0
2015,Georgia,Afghanistan,GEO,AFG,5,6,0,0,0,0,0
2015,Germany,Afghanistan,DEU,AFG,30026,42602,0,0,0,0,0
2015,Greece,Afghanistan,GRC,AFG,5223,587,0,0,0,0,0
